docno|doctype|text|
61|Climate|Greta Tintin Eleonora Ernman Thunberg (Swedish: [ˈɡrêːta ˈtʉ̂ːnbærj] ( listen); born 3 January 2003) is a Swedish environmental activist who has gained international recognition for promoting the view that humanity is facing an existential crisis arising from climate change.|
62|Climate|Gore has been involved with environmental issues since 1976 when as a freshman congressman, he held the "first congressional hearings on the climate change, and co-sponsor[ed] hearings on toxic waste and global warming."|
63|Climate|Originally a physicist, but often referred to as a chemist, Arrhenius was one of the founders of the science of physical chemistry.|
64|Climate|Myles R. Allen is head of the Climate Dynamics group at the University of Oxford's Atmospheric, Oceanic and Planetary Physics Department.|
65|Climate|Roger Graham Barry (13 November 1935 – 19 March 2018) was a British-born American geographer and climatologist.|
66|Climate|Bolin was asked to accept the Prize on behalf of the IPCC, but was too ill to attend.|
67|Climate|Cahalan grew up in Miamisburg, Ohio and Cincinnati, Ohio[3] and received his master's degree and Doctorate in physics from the University of Illinois in 1969 and 1973.|
68|Climate|Curry has become known as a contrarian scientist hosting a blog which is part of the climate change denial blogosphere.|
69|Climate|A. Scott Denning is a climate scientist and professor of atmospheric science at Colorado State University, whose faculty he joined in 1998. He is known for his research into atmosphere-biosphere interactions, the global carbon cycle, and atmospheric carbon dioxide.|
70|Climate|The Heartland Institute is an American conservative and libertarian public policy think tank founded in 1984 and based in Arlington Heights, Illinois. The institute conducts work on issues including education reform, government spending, taxation, healthcare, tobacco policy, global warming, hydraulic fracturing, information technology, and free-market environmentalism.|
71|Climate|The International Conference on Climate Change is a conference series organized and sponsored by The Heartland Institute which aims to bring together those who "dispute that the science is settled on the causes, consequences, and policy implications of climate change."|
72|Climate|The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced[3] climate change, its natural, political, and economic impacts and risks, and possible response options.|
73|Climate|The IPCC does not carry out original research, nor does it monitor climate or related phenomena itself. Rather, it assesses published literature, including peer-reviewed and non-peer-reviewed sources.|
74|Climate|The IPCC has published five comprehensive assessment reports reviewing the latest climate science, as well as a number of special reports on particular topics.|
75|Climate|There is widespread support for the IPCC in the scientific community, which is reflected in publications by other scientific bodies and experts.|
76|Climate|Since the IPCC does not carry out its own research, it operates on the basis of scientific papers and independently documented results from other scientific bodies, and its schedule for producing reports requires a deadline for submissions prior to the report's final release.|
77|Climate|In principle, this means that any significant new evidence or events that change our understanding of climate science between this deadline and publication of an IPCC report cannot be included. In an area of science where our scientific understanding is rapidly changing, this has been raised as a serious shortcoming in a body which is widely regarded as the ultimate authority on the science.|
78|Climate|Scientists who participate in the IPCC assessment process do so without any compensation other than the normal salaries they receive from their home institutions. The process is labor-intensive, diverting time and resources from participating scientists' research programs.|
79|Climate|NOAA warns of dangerous weather, charts seas, guides the use and protection of ocean and coastal resources and conducts research to provide the understanding and improve stewardship of the environment.|
80|Climate|The National Ocean Service (NOS) focuses on ensuring that ocean and coastal areas are safe, healthy, and productive.|
81|Climate|Christopher B. Field is an American scientist and researcher, who has contributed to the field of climate change.|
82|Climate|Fourier is also generally credited with the discovery of the greenhouse effect.|
83|Climate|Gleick lectures dozens of times a year on global water resource challenges and solutions, climate science and policy, and the integrity of science.|
84|Climate|Jean Grove had tuberculosis as a child and for a year lived in a summer house in the garden. There she read widely, including books on exploration, geology and astronomy, and was taught by her mother.|
85|Climate|Keith has worked on solar geoengineering since 1992, when he wrote one of the first assessments of the technology and its policy implications.|
86|Climate|Shen also wrote that since petrified bamboos were found underground in a climatic area where they had never been known to be grown, the climate there must have shifted geographically over time.|
87|Climate|Joseph Bernard Klemp is an American atmospheric scientist who collaborated in groundbreaking work advancing numerical simulation techniques and uncovering the dynamics of atmospheric convection, including supercell thunderstorms, tornadoes, squall lines, as well as mountain waves.|
88|Climate|Kirill Y. Kondratyev (14 June 1920 – 1 May 2006) was a Russian atmospheric physicist.|
89|Climate|In 1889 Lachinov wrote the first textbook on meteorology and climatology in Russia.|
90|Climate|With a PhD in medicine, Lovelock began his career performing cryopreservation experiments on rodents, including successfully thawing frozen specimens. His methods were influential in the theories of cryonics (the cryopreservation of humans).|
91|Climate|Lovelock could not at first afford to go to university, something which he believes helped prevent him becoming overspecialised and aided the development of Gaia theory.|
92|Climate|It was while working as a consultant for NASA that Lovelock developed the Gaia hypothesis, for which he is most widely known.|
93|Climate|Lovelock has become concerned about the threat of global warming from the greenhouse effect. In 2004 he caused a media sensation when he broke with many fellow environmentalists by pronouncing that "only nuclear power can now halt global warming".|
94|Climate|Peter Lynch is an Irish meteorologist, mathematician, blogger and book author.|
95|Climate|Christopher P. McKay is a planetary scientist at NASA Ames Research Center, studying planetary atmospheres, astrobiology, and terraforming.|
96|Climate|Fyodor Nikolayevich Panayev (Russian: Фёдор Никола́евич Пана́ев, 1856—1933) was a Russian teacher and climatologist, the author of a number of books on climatology and one of the founders of Perm Zoo.|
97|Climate|Revelle was deeply involved in the growth of oceanography in the United States and internationally after World War II.|
98|Climate|At his death, Revelle may well have still been waiting for a signal that would prove global warming as a serious problem correct.|
99|Climate|Stephen E. Schwartz (born June 18, 1941) is an atmospheric scientist at Brookhaven National Laboratory.|
100|Climate|Siegfried Fred Singer (September 27, 1924 – April 6, 2020) was an Austrian-born American physicist and emeritus professor of environmental science at the University of Virginia, trained as an atmospheric physicist.|
