docno|doctype|text|
37|GermanFilm|Die Welle is the 2008 German remake of The Wave, the fictional version of Ron Jones' 'Third Wave' experiment, directed by Dennis Gansel and relocating the events to a school in present day Germany.|
38|GermanFilm|Zurich (original title: Und morgen Mittag bin ich tot, translates to And tomorrow at noon I'll be dead) is a German movie from 2013 that deals with assisted suicide.|
39|GermanFilm|The White Ribbon (Das Weiße Band - Eine Kindergeschichte) is a 2009 German Drama/Mystery film by Michael Haneke.|
40|GermanFilm|We Are the Night is a German live action movie from the year 2010, and was released in US theaters in May 2011.|
41|GermanFilm|The Edukators (German: Die fetten Jahre sind vorbei, meaning The golden years are over) is a 2004 German-Austrian film made by the Austrian director Hans Weingartner.|
42|GermanFilm|A 1987 film by Wim Wenders originally called Der Himmel über Berlin (lit: 'The Heavens Above Berlin').|
43|GermanFilm|Until the End of the World is a 1991 film by director Wim Wenders, starring Solveig Dommartin, William Hurt and Max von Sydow.|
44|GermanFilm|The Thirteenth Floor is a 1999 science-fiction crime thriller starring Craig Bierko and Vincent D'Onofrio based on the 1964 novel Simulacron-3 (also known as Counterfeit World), by Daniel F. Galouye.|
45|GermanFilm|Sophie Scholl - The Final Days (Sophie Scholl - Die letzten Tage) is a 2005 film from Germany directed by Marc Rothemund.|
46|GermanFilm|Der Schuh des Manitu ("The Shoe of Manitou") is a German western comedy released in 2001 and one of the most successful German films of all time.|
47|GermanFilm|Lola rennt (known as Run Lola Run in English-speaking countries) is a 1998 German film. Unique and varied, the film is difficult to assign to any specific genre. Instead, think of this movie as a video game style exploration of love and fate that blends animation sequences with live footage, except that it's techno, fast, and features a red-haired German woman who spends most of the movie running.|
48|GermanFilm|The Nasty Girl (Das schreckliche Mädchen) is a 1990 film from Germany directed by Michael Verhoeven (no relation to Paul).|
49|GermanFilm|Er ist wieder da (Look Who's Back, literal translation: He's Back) is a 2015 German film, directed by David Wnendt.|
50|GermanFilm|The Bridge (Die Brücke) is a 1959 film from West Germany, directed by Bernhard Wicki.|
51|BritishFilm|Terry Gilliam's fourth solo directorial effort, from 1988 (though it didn't get released in the US and UK until a few months later in '89). It's a paean to whimsy and the irrational, and how stories are more important than "what really happened" and rationality.|
52|BritishFilm|Bad Timing is a 1980 erotic Psychological Thriller film directed by Nicolas Roeg.|
53|BritishFilm|A 2008 British movie, Very Loosely Based on a True Story, namely the 1971 Baker Street bank robbery. Set in 1971, it stars Jason Statham, Saffron Burrows and Keeley Hawes, along with half the supporting actors in Britain.|
54|BritishFilm|Black Narcissus is a 1947 film by the British director-writer-producer team of Michael Powell and Emeric Pressburger, based on the 1939 novel of the same name by Rumer Godden.|
55|BritishFilm|Blowup is a 1966 British-Italian film directed by Michelangelo Antonioni, his first English-language film.|
56|BritishFilm|So you want to know about The Crying Game? The movie is best remembered for its now infamous plot twist, but there's more to it than that.|
57|BritishFilm|Universal's second version of Dracula was adapted from the same stage play that its predecessor was based upon in the wake of a successful Broadway revival.|
58|BritishFilm|Ex Machina (sometimes stylised EX_MACHINA) is a 2015 British science fiction thriller film written and directed by Alex Garland, marking Garland's directorial debut, and starring Domhnall Gleeson, Oscar Isaac, and Alicia Vikander.|
59|BritishFilm|Full Metal Jacket (1987) is the story of the Vietnam War as seen through the eyes of a U.S. Marine known to the audience as "Joker".|
60|BritishFilm|A 1971 British crime film directed by Mike Hodges and starring Michael Caine as Jack Carter, a prominent London Gangster who returns to his hometown of Newcastle, England to find out who killed his brother.|
61|BritishFilm|Directed by Peter Webber, Girl with a Pearl Earring, based on the novel of the same name, garnered numerous awards both in the States and abroad.|
62|BritishFilm|Funeral in Berlin is a 1966 film based on the spy novel by Len Deighton.|
63|BritishFilm|The Hunger is a British horror film from 1983, the first to be directed by Tony Scott.|
64|BritishFilm|The Inbetweeners is a 2011 movie adaptation and continuation of the popular series The Inbetweeners.|
65|BritishFilm|The King's Speech is a 2010 period film, directed by Tom Hooper and starring Colin Firth, Geoffrey Rush, and Helena Bonham-Carter.|
66|BritishFilm|Kingsman: The Secret Service is a 2015 spy action film based on the comic book The Secret Service by Mark Millar and Dave Gibbons. |
67|BritishFilm|Lawrence of Arabia is a historical epic film directed by David Lean, about British officer T.E. Lawrence's activities leading the Arab revolt against the Turks during World War I.|
68|BritishFilm|Love Actually is a 2003 Romantic Comedy written and directed by Richard Curtis, featuring an All-Star Cast and set during Christmas time in and around London.|
69|BritishFilm|It was adapted into a film in 1996 by Danny Boyle, and was the second of three films from the mid nineties directed by Boyle and starring Ewan McGregor, along with Shallow Grave and A Life Less Ordinary.|
70|BritishFilm|Where Eagles Dare is a seminal 1968 novel by Alistair MacLean (who also wrote The Guns of Navarone). The following year it was made into an action thriller starring Clint Eastwood and Richard Burton.|
71|BritishFilm|Wimbledon is a 2004 romantic comedy film directed by Richard Loncraine.|
72|BritishFilm|The Young Victoria tells the story of Queen Victoria (Emily Blunt)'s early years, beginning with her isolated childhood with her mother, the Duchess of Kent, and her tyrannical aide John Conroy; her headstrong reactions to the attempts of her mother, her uncles King William IV of the UK and King Leopold of Belgium, and her prime minister, Lord Melbourne, to control her; and the beginning of her lifelong romance with her cousin and future husband, Prince Albert of Saxe-Coburg-Gotha.|
73|BritishFilm|The Shining is a 1980 horror film loosely based on Stephen King's novel of the same name.|
74|BritishFilm|A 1999 Romantic Comedy written by Richard Curtis, directed by Roger Michell, and starring Julia Roberts and Hugh Grant.|
75|BritishFilm|Four Weddings and a Funeral is a 1994 British romantic comedy film directed by Mike Newell, written by Richard Curtis, and starring Hugh Grant in his breakthrough role.|
76|ItalianFilm|L’avventura is a 1960 film by director Michelangelo Antonioni.|
77|ItalianFilm|Il deserto rosso ("The Red Desert" in English) is a 1964 film by Michelangelo Antonioni. It won the Leone d'Oro at the Venice film festival that year.|
78|ItalianFilm|Cinema Paradiso is a 1988 film from Italy, written and directed by Giuseppe Tornatore.|
79|ItalianFilm|Benjamin Britten has adapted this into an opera, and director Luchino Visconti made a 1971 film adaptation of the novella (Morte a Venezia) starring Dirk Bogarde and Björn Andrésen.|
80|ItalianFilm|A Fistful of Dollars is the 1964 Italian (and originally unauthorized) remake of the Japanese film Yojimbo, which itself was allegedly inspired by the novel Red Harvest by Dashiell Hammett.|
81|ItalianFilm|For a Few Dollars More (1965) is considered as one of the greatest films of the Spaghetti Western, and a masterpiece of Sergio Leone.|
82|ItalianFilm|The Good, the Bad and the Ugly (Italian: Il buono, il brutto, il cattivo, literally "The Good One, the Ugly One, the Bad One"), released in 1966, is one of the Dollars Trilogy of Spaghetti Westerns that served as a Deconstructor Fleet to the entire Western genre.|
83|ItalianFilm|A pseudo-autobiographical 1963 film by Federico Fellini dealing with a director, Guido Anselmi (portrayed by Marcello Mastroianni), trying to make a film, but suffering from “director’s block.”|
84|ItalianFilm|What is the most obvious course of action if you are a 12-year-old Sicilian boy when the fascist government is taking over and the Allies are bombing your village? Stalk the gorgeous madonna who just recently moved into town. That's basically the entire plot of Malèna, a 2000 Italian romantic drama written and directed by Giuseppe Tornatore (Cinema Paradiso) and starring Monica Bellucci.|
85|ItalianFilm|Marriage Italian Style (1964) is an Italian Dramedy directed by Vittorio De Sica, starring Sophia Loren and Marcello Mastroianni.|
86|ItalianFilm|Il sorpasso is a 1962 Italian film directed by Dino Risi featuring Jean-Louis Trintignant and Vittorio Gassman.|
87|ItalianFilm|The Garden of the Finzi-Continis is a 1970 film from Italy, directed by Vittorio De Sica.|
88|ItalianFilm|L'eclisse (English translation: The Eclipse, might also be untranslated) is a 1962 romance drama film directed by Michelangelo Antonioni.|
89|ItalianFilm|La notte is a 1961 film by Michelangelo Antonioni.|
90|ItalianFilm|The Night Porter is a very controversial 1974 film by Italian director Liliana Cavani, starring Dirk Bogarde and Charlotte Rampling.|
91|DutchFilm|Black Book (Zwartboek in Dutch) is a 2006 Dutch film taking place in late 1944/early 1945, during the last months of the Occupation of The Netherlands by Nazi Germany.|
92|DutchFilm|Red Sonja is a 1985 film based on the Marvel comic book series, starring Brigitte Nielsen in the title role. Arnold Schwarzenegger also stars as Prince Kalidor (an expy of Conan the Barbarian).|
93|DutchFilm|Grimm is a 2003 Dutch film by Alex van Warmerdam. It relates the story of Marie (Halina Reijn) and Jacob (Jacob Derwig), two Dutch youngsters who pass from one Fairy Tale to the other.|
94|DutchFilm|Soldier of Orange aka Soldaat van Oranje is a 1977 Dutch epic war film set during World War II.|
95|DutchFilm|The Windmill Massacre, known as The Windmill in the US, is a 2016 English-language Dutch slasher film directed by Nick Jongerius.|
96|DanishFilm|Melancholia is a 2011 Speculative Fiction film written and directed by Lars von Trier.|
97|DanishFilm|Breaking the Waves is a 1996 film written and directed by Lars von Trier, the first entry of his "Golden Hearts" Trilogy, and the beginning of a radical change in direction for the famously restless filmmaker.|
98|DanishFilm|A Royal Affair (original Danish title En kongelig affære) is a 2012 historical drama film, directed by Nikolaj Arcel and starring Alicia Vikander, Mads Mikkelsen and Mikkel Følsgaard.|
99|DanishFilm|Nightwatch (Danish: Nattevagten) is a 1994 Danish film directed by Ole Bornedal.|
100|DanishFilm|The Hunt (Jagten) is a 2012 Danish drama directed by Thomas Vinterberg. It's a study of human nature and mass hysteria.|
