docno|doctype|text|
65|Entertainment|Ruby Rose announced that she will be departing the lead role of Kate Kane on the CW superhero drama Batwoman after one season; Rose did not disclose the reasoning behind her exit.|
66|Entertainment|On 22 May 2020, Rose portrayed Viola in a livestreamed table-read of Twelfth Night as part of a benefit to raise money for COVID-19 pandemic relief.|
67|Entertainment|Todd Tilghman was announced the winner of the 18th season of The Voice.|
68|Entertainment|This is also the first season not to feature a streaming service download/stream voting 'multiplier' since season three due to the circumstances of the pandemic making weekly recordings of show performances being made available on streaming services impossible.|
69|Entertainment|This marked the first time since 1954 that Disney-centric content aired on Wednesday evenings on the network, when the company's first series, Disneyland, premiered.|
70|Entertainment|Jimenez identified himself to officers by holding his CNN press badge while reporting, and informed officers that they would move if needed. |
71|Entertainment|Atlanta Mayor Keisha Lance Bottoms slammed rioters for taking their actions out on a media building and a network headquarters for no reason whatsoever but to add more problems for her city.|
72|Entertainment|Protests of Floyd's death and similar officer-involved deaths of African-Americans in other cities also proved volatile for other television news organizations.|
73|Entertainment|Like Jimenez, Rust acknowledged that the separate incidents has gone viral on social media and has received major support from fellow journalists and celebrities.|
74|Entertainment|WAVE management called the action on its news crew uncalled for and have addressed the issue to LMPD, which plans to investigate the incident.|
75|Entertainment|The Guardian later reported the media had been the subject of police violence and harassment 50 times on May 29 and 30, including being shot at, teargassed, arrested and intimidated.|
76|Entertainment|Rock musician Ozzy Osbourne announces that he has been diagnosed with Parkinson's disease.|
77|Entertainment|Aimee Anne Duffy, a Welsh singer who goes by Duffy, reveals she was raped, drugged and held hostage over some days resulting in her disappearance from the limelight in recent years.|
78|Entertainment|Les Misérables wins four Césars, one of them for best film.|
79|Entertainment|Roman Polanski wins three César Awards, also for best director, for his movie An Officer and a Spy (French: J'accuse).|
80|Entertainment|102 more coronavirus cases are confirmed in Italy, bringing the number to 424. Another virus-related death is confirmed, bringing the death toll in the country to 12.|
81|Entertainment|In California, San Francisco declares a public emergency.|
82|Entertainment|Actor Tom Hanks reports that he and his wife Rita Wilson have been diagnosed with COVID-19 after visiting Australia where he was filming Elvis.|
83|Entertainment|It is announced that all Broadway theatres will go dark until the week of April 13, by order of New York Governor Andrew Cuomo.|
84|Entertainment|The ban also affects several television shows which film with live audiences in New York City.|
85|Entertainment|Actors Idris Elba and Kristofer Hivju reveal they have both tested positive for COVID-19.|
86|Entertainment|Actor Daniel Dae Kim tests positive for COVID-19.|
87|Entertainment|California Governor Gavin Newsom bans gatherings of more than 250 people.|
88|Entertainment|The ban puts several television shows filmed in the Los Angeles metropolitan area with live audiences on hiatus.|
89|Entertainment|After the Summer Olympics is postponed, the Tokyo station's Olympic countdown clock displaying the number of days until the Games (a local tourist attraction) is switched to show the current date and time.|
90|Entertainment|Canadian Prime Minister Justin Trudeau announces that the country will deny flights to people who show symptoms of COVID-19.|
91|Entertainment|American rapper 6ix9ine is released early from prison due to coronavirus concerns.|
92|Entertainment|Prime Minister Boris Johnson is admitted to hospital 10 days after testing positive for COVID-19.|
93|Entertainment|YouTube says it will remove videos promoting a conspiracy theory linking 5G to COVID-19, while "borderline content" will be removed from search results.|
94|Entertainment|The decision comes after four more mobile phone masts are set on fire, and broadband engineers have received threats, in several UK cities.|
95|Entertainment|New York Governor Andrew Cuomo reports 731 more deaths in the state from COVID-19, the highest daily death toll in the state to date, bringing the state's death toll to 5,489 and 138,836 infections.|
96|Entertainment|Final Fantasy VII Remake was released.|
97|Entertainment|Paul McCartney's handwritten copy of The Beatles' "Hey Jude" is sold in a virtual auction for US$910,000, almost six times its estimated value.|
98|Entertainment|The 2020 Tour de France has been delayed until August due to the COVID-19 pandemic.|
99|Entertainment|Reuters wins the 2020 Pulitzer Prize for Breaking News Photography for its coverage of the protests in Hong Kong.|
100|Entertainment|Shanghai Disneyland reopens with new social distancing rules.|
