doc|doctype|text|
77|Business|McDonald's restaurants are found in 120 countries and territories around the world and serve 68 million customers each day.|
78|Business|Marriott International, Inc. is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities.|
79|Business|BNY Mellon's Investment Management business generates 28 percent of the company's revenue[75] and had US$1.7 trillion (Q4 2016) in assets under management.|
80|Business|Salesforce is the primary enterprise offering within the Salesforce platform.|
81|Business|In 2003, PayPal voluntarily ceased serving as a payment intermediary between gambling websites and their online customers. At the time of this cessation, it was the largest payment processor for online gambling transactions.|
82|Business|Eventually, the successful sales of the Caviar drives resulted in Western Digital starting to sell some of its divisions.|
83|Business|In 1970, Gap opened its second store in San Jose.|
84|Business|In 2011, Colgate-Palmolive was one of the first companies recognized by PETA (People for the Ethical Treatment of Animals) under the new "working for regulatory change" category for companies that test on animals only when mandated by government regulations and are actively seeking alternatives to animal testing.|
85|Business|In 2015, Estée Lauder signed model Kendall Jenner to promote the brand.|
86|Business|In 1978, Texas Instruments introduced the first single-chip linear predictive coding speech synthesizer.|
87|Business|RGA’s business includes life reinsurance, living benefits reinsurance, group reinsurance, health reinsurance, financial solutions and facultative underwriting.|
88|Business|Despite its successes, Las Vegas Sands hit hard times in 2008 during the financial crises.|
89|Business|For the fiscal year 2017, Kellogg's reported earnings of US$1.269 billion, with an annual revenue of US$12.932 billion, a decline of 0.7% over the previous fiscal cycle.|
90|Business|Kinder Morgan owns an interest in or operates approximately 85,000 miles (137 000 km) of pipelines and 152 terminals.|
91|Business|U.S. Steel has multiple domestic and international facilities.|
92|Business|Edison International is a public utility holding company based in Rosemead, California.|
93|Business|Expedia Group is an American online travel shopping company for consumer and small business travel.|
94|Business|Boston Scientific has the self-imposed standard of implementing an integrative organizational culture and actively strives to further improve this by increasing diversity at the level of management and executives.|
95|Business|In late 2016, Liberty Media agreed to buy the Formula One Group for US$4.4 billion (£3.3 billion).|
96|Business|Former football player O. J. Simpson appeared as a spokesperson in Hertz ads.|
97|Business|JetBlue was incorporated in Delaware in August 1998.|
98|Business|In 2019, Foot Locker invested in companies like GOAT, an online resale marketplace for sneakers.|
99|Business|An urban legend concerning snakes hiding in coats being sold at Burlington became widely circulated in the early 1990s.|
100|Business|While Dover acquired more than seventy companies between 1998 and 2002, the company's acquisition rate slowed in the early 2000s.|
