docno|doctype|text|
39|Franchise|Stargate Infinity is an animated Spin-Off of the Stargate franchise, produced by DiC Entertainment for the Fox Box programming block. The series was developed without any input from the main franchise's creative team, and is officially considered non-canon to the rest of the Stargate-verse.|
40|Franchise|A third and final SG-1 film — Stargate: Revolution — was planned, but was ultimately canceled following Stargate Universe under-performing.|
41|Franchise|James Bond (or James Bond 007) is a long-running Spy Fiction multimedia franchise that originated with the novels of British author Ian Fleming and became a pop culture landmark, in large part thanks to a long-running series of theatrical films that started in The '60s and continues to this day.|
42|Franchise|GoldenEye is a FPS video game adaptation of the James Bond movie of the same name, made by Rare for the Nintendo 64 (known by some as GoldenEye 007, after the box art).|
43|Franchise|Dr. No is the first James Bond film, directed by Terence Young and starring Sean Connery.|
44|Franchise|The second James Bond film, From Russia with Love was directed by Terence Young once again and starred Sean Connery once again.|
45|Franchise|Live and Let Die is the eigth James Bond film, the third in the series to be directed by Guy Hamilton and the first to star Roger Moore. It came out in the summer of 1973.|
46|Franchise|GoldenEye is the seventeenth James Bond film, the first to be released after a six-year hiatus following Licence to Kill, the first mainly set in Russia, the first done after the end of the Cold War, the first to be directed by Martin Campbell and the first to star Pierce Brosnan.|
47|Franchise|Casino Royale is the twenty-first film in EON Productions' James Bond film franchise, the third Live-Action Adaptation of the James Bond novel Casino Royale and the second film to be directed by Martin Campbell in the series, introducing Daniel Craig as James Bond.|
48|Franchise|007 Legends is a First-Person Shooter video game released in 2012, developed by Eurocom and published by Activision for the Xbox 360 / PS3 / Wii U, which follows the exploits of James Bond (the Daniel Craig incarnation) in six of the secret agent's past adventures.|
49|Franchise|James Bond Jr. is a 65-Episode Cartoon that ran during the 1991-92 season and featured James Bond's nephew as the main protagonist.|
50|Franchise|Skyfall, the twenty-third film in the James Bond franchise, also marks the 50th anniversary of the film series, and is the third film in the series to star Daniel Craig.|
51|Franchise|Law & Order is a franchise of Police Procedural / Law Procedural TV series, beginning with the long-running Law & Order.|
52|Franchise|Law & Order is a long running Dramatic Hour Long Courtroom Drama created by Dick Wolf that ran from 1990 to 2010 (twenty seasons, four hundred and fifty-six (456) epic episodes).|
53|Franchise|The first spin-off of the Law & Order franchise. Like the original, the show features detectives investigating crimes and attorneys prosecuting the offenders.|
54|Franchise|The second Spin-Off from the popular Law & Order series, Criminal Intent shows the viewer what is happening from the criminal's perspective as well as the ongoing police investigation.|
55|Franchise|Law & Order: Trial by Jury (2005-2006) is a short-lived spinoff of the original Law & Order.|
56|Franchise|Law & Order: True Crime is the latest addition to the Law & Order franchise. Different from the other Law & Order shows, this series is an anthology series, focusing on a different true crime story for each season, similar to American Crime Story.|
57|Franchise|Law & Order: LA (2010-2011), originally titled Law & Order: Los Angeles, is a Law & Order spinoff set in Los Angeles.|
58|Franchise|A remake of Law & Order (2009-2014), set in the UK, specifically London (it had a Working Title of Law & Order: London).|
59|Franchise|Conviction (2006) is a short-lived Law & Order spinoff starring Stephanie March as Alex Cabot, formerly of Law & Order: Special Victims Unit, now the bureau chief of the District Attorney's office.|
60|Franchise|Law and Order is also the title of an unrelated 1932 Western film.|
61|Franchise|The Marvel Cinematic Universe or MCU is a combined setting produced by Marvel Entertainment and Marvel Studios.|
62|Franchise|Iron Man is a 2008 American superhero film based on the Marvel Comics character Iron Man, starring Robert Downey Jr. as the armored Super Hero.|
63|Franchise|Captain America: The First Avenger is a 2011 action/adventure based on the Marvel Comics character Captain America, produced by Marvel Studios, and directed by Joe Johnston; it is the fifth film in (and in some ways, a prequel to) the Marvel Cinematic Universe.|
64|Franchise|The Avengers (known as Avengers Assemble in the UK and Ireland and Marvel's The Avengers) is a 2012 Live-Action Adaptation of The Avengers comic book directed by Joss Whedon and produced by Marvel Studios and is the sixth film in the Marvel Cinematic Universe.|
65|Franchise|Daredevil is a Netflix original series adaptation of the long-running comic book series, and the first entry in the Marvel Cinematic Universe's The Defenders franchise, followed up by Jessica Jones, Luke Cage, Iron Fist and The Punisher.|
66|Franchise|Jessica Jones is a 2015 Netflix original series based on the Marvel comic book Alias, developed by Melissa Rosenberg.|
67|Franchise|Agent Carter is a television series set in the Marvel Cinematic Universe.|
68|Franchise|Agent Carter, also known as Marvel One-Shot: Agent Carter, is a 2013 Short Film and the fourth of Marvel One-Shots, set in Marvel Cinematic Universe.|
69|Franchise|Avengers: Age of Ultron is the 2015 sequel to The Avengers and the eleventh feature film in the Marvel Cinematic Universe series, written and directed by Joss Whedon.|
70|Franchise|LEGO Marvel's Avengers is a LEGO Adaptation Game based on The Avengers, with a particular emphasis on their depiction in the Marvel Cinematic Universe (although elements from the comics and other adaptations are also included).|
71|Franchise|Created by Bob Kane with Bill Finger (who until recently was uncredited), Batman is also one of the greatest Trope Makers and Trope Codifiers in not just comics, but all visual media; one of the oldest superheroes still in print — having debuted in Detective Comics #27 (May 1939) — Batman is one of the three best known Superheroes ever (alongside Superman and Spider-Man), one of the flagships of DC Comics and one of the most popular comic book characters ever created.|
72|Franchise|Batman is the campy, colorful, comedic adaptation of the titular comic book character, produced for ABC from 1966 to 1968.|
73|Franchise|A series based on the Batman mythos that started in 2014 on FOX, chronicling the story of a younger James Gordon (Benjamin McKenzie), an idealistic rookie detective for the Gotham City Police Department, before the Dark Knight and his colorful Rogues Gallery rise to fruition.|
74|Franchise|The Batman (or simply Batman) was a 15-chapter serial released in 1943 by Columbia Pictures.|
75|Franchise|The sequel to Batman's film debut, the 1943 movie The Batman, Batman and Robin was released in 1949 by Columbia Pictures and served as a sequel serial, consisting of fifteen chapters in a similar way as the original.|
76|Franchise|A full-length feature film released in 1966 based on the then-popular Batman TV series, which itself was based on a series of popular comic books.|
77|Franchise|The first sequel to Batman, seeing release in 1992.|
78|Franchise|The Dark Knight (2008) is the second entry in Christopher Nolan's Batman film trilogy, The Dark Knight Trilogy.|
79|Franchise|Batman v Superman: Dawn of Justice is the 2016 sequel to Man of Steel, directed by Zack Snyder and the second film in the DC Extended Universe.|
80|Franchise|Batman: Arkham Asylum is a video game developed by Rocksteady Studios and published by Eidos Interactive in conjunction with Warner Bros. Interactive Entertainment, released in 2009.|
81|Franchise|The Fast and the Furious (also commonly known as Fast & Furious) is a series of action films, which center on illegal street racing and (later) heists, produced by Universal.|
82|Franchise|The Fast and the Furious is the first installment of the The Fast and the Furious franchise.|
83|Franchise|Fast & Furious, also known as F&F 4 to avoid confusion with the first movie, is the fourth film in the series.|
84|Franchise|Fast Five (also known as The Fast and Furious Five: Rio Heist) is the fifth film in The Fast and the Furious franchise, proceeding immediately on from Fast & Furious.|
85|Franchise|Fast & Furious 6 is the sixth installment in The Fast and the Furious franchise. Released in May 2013, takes place shortly after the end of Fast Five.|
86|Franchise|Furious 7 is the seventh installment in the The Fast and the Furious franchise.|
87|Franchise|Fast & Furious Presents: Hobbs & Shaw is a 2019 action film directed by David Leitch (Deadpool 2, John Wick) and written by Chris Morgan, screenwriter of every Fast & Furious film since 2006's Tokyo Drift.|
88|Franchise|The Fast and the Furious: Tokyo Drift is the third installment in The Fast and the Furious franchise. Starring Lucas Black, was directed by Justin Lin and released in 2006.|
89|Franchise|2 Fast 2 Furious is the second film in The Fast and the Furious franchise.|
90|Franchise|Not at all to be confused with the 1955 movie also named The Fast and the Furious, directed by John Ireland and starring Ireland and Dorothy Malone, though the fact that is one of the first films to have a feature-length Chase Scene may have had something to do with the 2001 film being given the same title.|
91|Franchise|Saturday Night Live is a ground-breaking NBC sketch comedy/Variety Show, broadcast live from New York City in what had been, up until its premiere in 1975, TV's "graveyard shift" slot.|
92|Franchise|The first Saturday Night Live skit to be spun off into a movie, and arguably the best.|
93|Franchise|Wayne's World is a 1992 comedy film, starring Mike Myers as Wayne Campbell and Dana Carvey as Garth Algar, hosts of the Aurora, Illinois-based cable access television show "Wayne's World".|
94|Franchise|A 1993 comedy film directed by Steve Barron (Electric Dreams, Teenage Mutant Ninja Turtles (1990)) based on the Saturday Night Live sketches about the titular Coneheads.|
95|Franchise|MacGruber is an Affectionate Parody of MacGyver originating on Saturday Night Live, in one of the better segments that have shown up in the years since the departure of Tina Fey as head writer.|
96|Franchise|A Night at the Roxbury is a 1998 comedy movie directed by John Fortenberry, spun off from the recurring Saturday Night Live skit starring Will Ferrell and Chris Kattan (originating the "Roxbury head-bop", with the brothers (and the guest star) shaking their heads to the Haddaway song "What Is Love").|
97|Franchise|Superstar is a 1999 comedy directed by Bruce McCullogh and starring Molly Shannon, based on the Saturday Night Live sketches featuring Shannon's character Mary Katherine Gallagher.|
98|Franchise|The Ladies Man is a 2000 comedy film directed by Reginald Hudlin, starring Tim Meadows (who co-wrote the screenplay), Karyn Paraons, Billy Dee Williams, Tiffani Thiessen, Lee Evans, and Will Ferrell.|
99|Franchise|Not coincidentally, many of these cast members are also veterans of The Second City, a world-class improv theatre troupe in Chicago and Toronto.|
100|Franchise|SNL has essentially become a New York City treasure, despite the years of turmoil (both on the show and in the world) that threatened to end the show and tarnish its legacy, and has proved time and again that it can survive anything thrown at it, from fickle fans to national crises.|
