docno|doctype|text|
16|Politics|The Security Service of Ukraine (SBU) published on YouTube an alleged wiretap of separatist commanders and Russian intelligence officers discussing the shoot-down and acknowledging the aircraft shot down was civilian.| 
17|Politics|Anti-globalization protesters in Hong Kong began a series of demonstrations on Sunday to denounce this week's World Trade Organization (WTO) meeting.|
18|Politics|China is questioning a decision by the U.S. Commerce Department that seeks to re-impose trade quotas on Chinese textiles.|
19|Politics|The valuation of the Chinese Yuan has been closely tied to the U.S. Dollar for years.|
20|Politics|The IMF also released a policy discussion paper titled "Africa in the Doha Round".|
21|Politics|On Friday, the annual meeting of the leaders of the world's eight most powerful countries, the Group of Eight (G8), ended ahead of schedule with few resolutions to the disappointment of many.|
22|Politics|The deadlock held in place by the EU continues after the finish of a 2 day meeting at APEC today.|
23|Politics|It also forced Saudis not to boycott US companies which are doing business with Israel.|
24|Politics|U.S. troops left Iraq in 2011, then at the Iraqi government's request returned three years later.|
25|Politics|This took place as anti-government protests continue in Baghdad and through the southern part of Iraq.|
26|Politics|According to a March 14, 2019 NATO press release, Hungary spent an estimated 1.15% of its GDP on military expenditures in 2018; NATO guidelines call for 2%.|
27|Politics|The creditor Hungarian Development Bank is state-owned as well.|
28|Politics|Yesterday, the United States House of Representatives passed a resolution to establish procedural rules for the next, public phase of the ongoing impeachment investigation into President Donald Trump.|
29|Politics|Nancy Pelosi, the Democratic Speaker of the House, announced the upcoming vote in a letter earlier this week to other Democratic members of the House.|
30|Politics|Mitch McConnell, the Republican Senate Majority Leader, previously committed to proceeding with such a trial.|
31|Politics|Yesterday, former United States Senator Kay Hagan died, according to a statement released by her family.|
32|Politics|John James Conyers Jr., first elected to Congress in 1964, was born in Detroit, Michigan, in 1929.|
33|Politics|In 1971, Conyers co-founded the Congressional Black Caucus.|
34|Politics|NPR reported he had also served in Congress longer than any other African American, current or past.|
35|Politics|During the Parliamentary debate on the riots, David Milliband, the Labour leader, called on Cameron to reconsider cuts to police budgets.|
36|Politics|The government is "working with the police, the intelligence services and industry to look at whether it would be right to stop people communicating via these Web sites and services when we know they are plotting violence, disorder and criminality," said Cameron.|
37|Politics|A car fatally crashed into three individuals in the British city of Birmingham, England.|
38|Politics|The West Midlands has seen other instances of violent behavior.|
39|Politics|Meanwhile, a community-organized cleanup operation has been mobilised through social media websites like Facebook and Twitter.|
40|Politics|Birmingham, Liverpool and Nottingham also suffered a second night of disorder, with three confirmed fatalities in Birmingham.|
41|Politics|Rioting, theft, vandalism and other acts of violence are currently occurring in various cities throughout England.|
42|Politics|Libyan planes have previously bombed Sirte, but lack the capability to launch precision strikes.|
43|Politics|The last targeted an ISIL training camp in February.|
44|Politics|Last month the US said Egypt and the UAE were involved in airstrikes against militants as they were in the process of capturing Tripoli.|
45|Politics|Qatar has previously backed the Muslim Brotherhood, a group reported to have ties with the militants in Tripoli.|
47|Politics|Rival militias fight each other, and a renegade general is reportedly confronting the Libyan army.|
48|Politics|Algeria and Tunisia are both reinforcing their borders with Libya, following an arms-smuggling incident.|
49|Politics|A statement from the Libyan government made reference to this, saying the incident "represents a clear violation of international resolutions".|
50|Politics|Libya's foreign minister, Mohamed Abdel Aziz, told The Guardian the government was no longer able to defend the country's assets, and while they did not want any outside intervention, they were in need of support and supplies.|
51|Politics|This follows the advice of the UK Foreign and Commonwealth Office (FCO) for all UK citizens to leave the country by commercial means, and announcement the embassy in Tripoli would be suspending operations today.|
52|Politics|The FCO stated spaces for assisted departure for Britons on HMS Enterprise is limited, and would be prioritised.|
53|Politics|The Donald Trump administration is currently under fire with the increase of civilian casualties as a result of the increased drone strikes across Iraq and Syria.|
54|Politics|The constitution recognises Islam as the religion of Tunisia but also includes provisions guaranteeing freedom of conscience and equality between men and women.|
55|Politics|Several airlines have already suspended commercial services into Syria, including Etihad who did so a year ago.|
56|Politics|At least two people in Cairo, Egypt have died after clashes at the presidential palace broke out between supporters and opponents of president Mohamed Morsi. Dozens more were injured.|
57|Politics|Earlier this year in September Egyptian courts ruled to dissolve Egypt's parliament.|
58|Politics|Morsi opposed the ruling, threatening action, but later respected the decision.|
59|Politics|Counter demonstration planned by the Muslim Brotherhood and Nour Party has been cancelled to avoid possible further violence.|
60|Politics|The topic of the debate was foreign policy and the candidates discussed the Arab Spring, Iran, and Mali, among other issues.|
61|Politics|Mr. Romney said Mr. Obama was proposing military budget cuts.|
62|Politics|Forces on both sides battled in neighborhoods around Damascus for nearly twelve hours on Saturday night.|
63|Politics|In battles elsewhere on Saturday night, the Syrian Observatory for Human Rights reports at least 20 civilians were killed in the city of Daraa by Syrian army tank shells.|
64|Politics|The convicts say they are oil workers who were forced into the conflict which toppled Gaddafi.|
65|Politics|The defendants appeared in a cage within Tripoli's Court Complex to hear the outcome.|
66|Politics|Mubarak resigned from his presidential position in February 2011 as a result of the widespread protests.|
67|Politics|Protests occurred throughout the country in Cairo's Tahrir Square, Suez, and Mansoura.|
68|Politics|De Blasio made the announcement live on television just after 7:30 a.m. EDT (1130 UTC).|
69|Politics|Both Warren and Sanders remain — along with several others — in the race for the Democratic presidential nomination.|
70|Politics|Adam Kokesh, an Iraq War veteran, activist, radio show host, and currently a candidate for the US Libertarian Party's 2020 presidential nomination, spoke with Wikinews to discuss his background, political positions, and campaign for President of the United States.|
71|Politics|This past Friday, the princess, 67, announced her candidacy for the prime ministry under the Thai Raksa Chart Party, making her the first Thai royal to seek elected office.|
72|Politics|On Monday, Nevada became the first state in the United States to begin a state legislative session in which more than half of the elected officials were women, at 50.8 percent.|
73|Politics|Colorado also has a female majority in its lower house but not in its state legislature overall.|
74|Politics|The United States has both a federal-level legislative body, made up of the Senate and House of Representatives, which make laws applicable to the entire country; and separate state and local legislatures, which make laws applicable only to that specific state or other district.|
75|Politics|President Donald Trump congratulated Pelosi, saying, "hopefully we're going to have a lot of things that we can get done together."|
76|Politics|Unlike Senators, who serve six-year terms, members of the House are elected for two-year terms.|
77|Politics|On Tuesday night, Stacey Abrams became the United States Democratic Party's candidate for governor of the state of Georgia, the first black woman nominated for this office.|
78|Politics|The other major party in this election is the Republican Party.|
79|Politics|Yesterday, the Central Election Commission (CEC) of Russia declared incumbent President Vladimir Putin the winner of Sunday's presidential elections amidst heavy criticism from opposition groups and western media.|
80|Politics|Foreign news media have been heavily critical of the election. Numerous CCTV recordings appear to show ballot stuffing. State television in Russia have claimed many video recordings to be fake.|
81|Politics|He has held the office since then except for one term when Dmitry Medvedev was in office due to term-limit restrictions.|
82|Politics|Republican Senators John McCain and Bob Corker, who have also been critical of President Trump, stood and clapped at the end of Flake's floor speech.|
83|Politics|United States senators serve six-year terms. One third of the Senate is elected or reelected every two years.|
84|Politics|Kirsten Gillibrand, who was a candidate in the Democratic primary for the 2020 United States presidential election, ended her campaign on Wednesday.|
85|Politics|United States Senator Elizabeth Warren released to newspaper The Boston Globe on Sunday, with public statement following on Monday, the results of a DNA test suggesting she has somewhere from 1/64 to 1/1024 Native American ancestry.|
86|Politics|Democratic strategist Steve Elmendorf told the press, "She is most clearly doing the things you do if you're running for president."|
87|Politics|Warren's sample was tested against samples from Mexico and South America believed to have genetic markers in common with Native Americans from what is now the United States.|
88|Politics|Sanders, 76, a self-identified Socialist, was born in Brooklyn before relocating to his current home of Vermont.|
89|Politics|Congressman John Delaney of Maryland is currently the only prominent Democrat officially running for President.|
90|Politics|Sarah Huckabee Sanders, White House Press Secretary, released a statement after Scaramucci's dismissal.|
91|Politics|Before aligning himself with Trump, he fundraised for the GOP primary campaigns of both Scott Walker and Jeb Bush.|
92|Politics|U.S. Attorney General Jeff Sessions on Thursday recused himself from any investigation of Russia's alleged interference in the 2016 U.S. presidential race but reserved the right to make decisions "on a case-by-case basis" about other issues involving Russian hacking.|
93|Politics|Earlier this year, National Security Advisor Michael Flynn resigned, also over concerns of impropriety related to contact with the Russian ambassador.|
94|Politics|While the more reserved Jamie Raskin told Politico he would only get involved in the face of "evidence of technological tampering, ballot stuffing or the illegal purging of people from the rolls or exclusion of voters from the polls."|
95|Politics|Customarily, the votes are read out loud in alphabetical order by state name. In U.S. history, objections to electoral votes have been rare and have been overruled by the rest of Congress.|
96|Politics|On Tuesday, Republican Donald Trump won the 2016 United States presidential election. Republicans also kept control of both houses of Congress.|
97|Politics|70-year-old Donald Trump will be the oldest US president to first enter the office. No woman has ever been the US president.|
98|Politics|The Civil Human Rights Front had sent the police a plan for yesterday's march, which they rejected, approving only a gathering in Victoria Park.|
99|Politics|Planned Parenthood, along with the American Civil Liberties Union have announced their plans to oppose the bill by lawsuit.|
100|Politics|On Thursday, the Israeli Supreme Court ruled in favor of Lara Alqasem, a 22-year-old University of Florida student who appealed an expulsion order, allowing her to remain in the country.|
