Donet	surface	type	start	link
48	Libya	LOC		http://dbpedia.org/resource/Libya
50	Libya	LOC		http://dbpedia.org/resource/Libya
50	Mohamed Abdel Aziz	PER		NIL
50	The Guardian	ORG		http://dbpedia.org/resource/The_Guardian
51	UK Foreign and Commonwealth Office	ORG		http://dbpedia.org/resource/United_Kingdom
51	FCO	ORG		http://dbpedia.org/resource/Foreign_and_Commonwealth_Office
51	UK	LOC		http://dbpedia.org/resource/United_Kingdom
51	Tripoli	LOC		http://dbpedia.org/resource/Tripoli
52	FCO	ORG		http://dbpedia.org/resource/Foreign_and_Commonwealth_Office
52	HMS Enterprise	OTHER		http://dbpedia.org/resource/HMS_Enterprise_(D52)
53	Donald Trump administration	ORG		http://dbpedia.org/resource/Donald_Trump
53	Iraq	LOC		http://dbpedia.org/resource/Iraq
53	Siria	LOC		http://dbpedia.org/resource/Siria
54	Islam	OTHER		NIL
54	Tunisia	LOC		http://dbpedia.org/resource/Tunisia
54	Syria	LOC		http://dbpedia.org/resource/Syria
54	Etihad	ORG		NIL
56	Cairo, Egypt	LOC		http://dbpedia.org/resource/Cairo
56	Mohamed Morsi	PER		http://dbpedia.org/resource/Mohamed_Morsi
57	Egypt's parliament	ORG		http://dbpedia.org/resource/Egypt
58	Morsi	PER		http://dbpedia.org/resource/Mohamed_Morsi
59	Muslim Brotherhood	ORG		http://dbpedia.org/resource/Muslim_Brotherhood
59	Nour Party	ORG		http://dbpedia.org/resource/Al-Nour_Party
60	Arab Spring	EVENT		http://dbpedia.org/resource/Arab_Spring
60	Iran	LOC		http://dbpedia.org/resource/Iran
60	Mali	LOC		http://dbpedia.org/resource/Mali
61	Mr. Romney	PER		http://dbpedia.org/resource/Mitt_Romney
61	Mr. Obama	PER		http://dbpedia.org/resource/Barack_Obama
62	Damascus	LOC		http://dbpedia.org/resource/Damascus
63	Syrian Observatory for Human Rights	ORG		http://dbpedia.org/resource/Syrians
63	Daraa	LOC		http://dbpedia.org/resource/Daraa
64	Gaddafi	PER		http://dbpedia.org/resource/Muammar_Gaddafi
65	Tripoli's Court Complex	ORG		http://dbpedia.org/resource/Tripoli
66	Mubarak	PER		http://dbpedia.org/resource/Hosni_Mubarak
67	Cairo's Tahrir Square	LOC		http://dbpedia.org/resource/Cairo
67	Suez	LOC		http://dbpedia.org/resource/Suez
67	Mansoura	LOC		http://dbpedia.org/resource/El_Mansoura_SC
68	De Blasio	PER		NIL
69	Warren	PER		http://dbpedia.org/resource/Earl_Warren
69	Sanders	PER		http://dbpedia.org/resource/Bernie_Sanders
70	Adam Kokesh	PER		http://dbpedia.org/resource/Adam_Kokesh
70	Iraq War	EVENT		http://dbpedia.org/resource/Iraq_War
70	US Libertarian Party	ORG		http://dbpedia.org/resource/Libertarian_Party_(United_States)
70	Wikinews	ORG		http://dbpedia.org/resource/Wikinews
70	President of the United States	ROLE		http://dbpedia.org/resource/President_of_the_United_States
71	Thai Raksa Chart Party	ORG		http://dbpedia.org/resource/Thailand
72	Nevada	LOC		http://dbpedia.org/resource/Nevada
72	United States	LOC		http://dbpedia.org/resource/United_States
73	Colorado	LOC		http://dbpedia.org/resource/Colorado
74	United States	LOC		http://dbpedia.org/resource/United_States
74	Senate	ORG		http://dbpedia.org/resource/United_States_Senate
74	House of Representatives	ORG		http://dbpedia.org/resource/United_States_House_of_Representatives
75	President Donald Trump	PER		http://dbpedia.org/resource/President_of_the_United_States
75	Pelosi	PER		NIL
76	House	ORG		http://dbpedia.org/resource/United_States_House_of_Representatives
77	Stacey Abrams	PER		NIL
77	United States Democratic Party	ORG		http://dbpedia.org/resource/Democratic_Party_(United_States)
78	Republican Party	ORG		http://dbpedia.org/resource/Republican_Party_(United_States)
79	Central Election Commission	ORG		NIL
79	CEC	ORG		http://dbpedia.org/resource/Canadian_Electroacoustic_Community
79	Russia	LOC		http://dbpedia.org/resource/Russia
79	President Vladimir Putin	PER		http://dbpedia.org/resource/President_of_Russia
80	Russia	LOC		http://dbpedia.org/resource/Russia
81	Dmitry Medvedev	PER		http://dbpedia.org/resource/Dmitry_Medvedev
82	John McCain	PER		http://dbpedia.org/resource/John_McCain
82	Bob Corker	PER		http://dbpedia.org/resource/Bob_Corker
82	President Trump	PER		http://dbpedia.org/resource/Donald_Trump
82	Flake	PER		NIL
83	United States	LOC		http://dbpedia.org/resource/United_States
84	Kirsten Gillibrand	PER		http://dbpedia.org/resource/Kirsten_Gillibrand
84	Democratic primary	EVENT		http://dbpedia.org/resource/Democratic_Party_(United_States)
84	2020 United States presidential election	EVENT		http://dbpedia.org/resource/United_States_presidential_election,_2020
85	United States Senator Elizabeth Warren	PER		http://dbpedia.org/resource/United_States_Senate
85	The Boston Globe	ORG		http://dbpedia.org/resource/The_Boston_Globe
85	DNA	OTHER		http://dbpedia.org/resource/DNA
86	Steve Elmendorf	PER		NIL
87	Warren	LOC		http://dbpedia.org/resource/Earl_Warren
87	Mexico	LOC		http://dbpedia.org/resource/Mexico
87	South America	LOC		http://dbpedia.org/resource/South_America
87	United States	LOC		http://dbpedia.org/resource/United_States
88	Sanders	PER		http://dbpedia.org/resource/Bernie_Sanders
88	Brooklyn	LOC		http://dbpedia.org/resource/Brooklyn
88	Vermont	LOC		http://dbpedia.org/resource/Vermont
89	Congressman John Delaney	PER		http://dbpedia.org/resource/United_States_House_of_Representatives
89	Maryland	LOC		http://dbpedia.org/resource/Maryland
89	President	ROLE		http://dbpedia.org/resource/President_of_the_United_States
90	Sarah Huckabee Sanders	PER		http://dbpedia.org/resource/Sarah_Huckabee_Sanders
90	White House Press Secretary	ROLE		http://dbpedia.org/resource/White_House_Press_Secretary
90	Scaramucci	PER		NIL
91	Trump	PER		http://dbpedia.org/resource/Donald_Trump
91	GOP primary	EVENT		http://dbpedia.org/resource/Republican_Party_(United_States)
91	Scott Walker	PER		NIL
91	Jeb Bush	PER		http://dbpedia.org/resource/Jeb_Bush
92	U.S. Attorney General Jeff Sessions	PER		http://dbpedia.org/resource/United_States
92	Russia	LOC		http://dbpedia.org/resource/Russia
92	2016 U.S. presidential race 	EVENT		http://dbpedia.org/resource/United_States
93	National Security Advisor Michael Flynn	PER		http://dbpedia.org/resource/National_Security_Advisor_(United_States)
94	James Raskin	PER		http://dbpedia.org/resource/LeBron_James
94	Politico	ORG		http://dbpedia.org/resource/Politico
95	U.S.	LOC		http://dbpedia.org/resource/United_States
95	Congress	ORG		http://dbpedia.org/resource/United_States_Congress
96	Donald Trump	PER		http://dbpedia.org/resource/Donald_Trump
96	2016 United States presidential election	EVENT		http://dbpedia.org/resource/United_States_presidential_election,_2016
96	Congress	ORG		http://dbpedia.org/resource/United_States_Congress
97	Donald Trump	PER		http://dbpedia.org/resource/Donald_Trump
97	US	LOC		http://dbpedia.org/resource/United_States
98	The Civil Human Rights Front	ORG		http://dbpedia.org/resource/Civil_Human_Rights_Front
98	Victoria Park	LOC		http://dbpedia.org/resource/Victoria_(Australia)
99	Planned Parenthood	ORG		http://dbpedia.org/resource/Planned_Parenthood
99	American Civil Liberties Union	ORG		http://dbpedia.org/resource/American_Civil_Liberties_Union
100	Israeli Suprem Court	ORG		http://dbpedia.org/resource/Israelis
100	Lara Alqasem	PER		http://dbpedia.org/resource/Lara_de_los_Infantes
100	Florida	LOC		http://dbpedia.org/resource/Florida
